"","Year","District","Electorate","ColNames","Votes","Percentage"
"118",2005,"Colombo","Ratmalana","Total No of Votes Polled",49738,74.87
"119",2005,"Colombo","Kolonnawa","Wimal Geeganage",27,0.03
"120",2005,"Colombo","Kolonnawa","Chamil Jayaneththi",47,0.06
"121",2005,"Colombo","Kolonnawa","Ajith Kumara Jayaweera Arachchige",19,0.02
"122",2005,"Colombo","Kolonnawa","Siritunga Jayasuriya",178,0.22
"123",2005,"Colombo","Kolonnawa","P. Nelson Perera",13,0.02
"124",2005,"Colombo","Kolonnawa","Wije Dias",24,0.03
"125",2005,"Colombo","Kolonnawa","Anura De Silva",34,0.04
"126",2005,"Colombo","Kolonnawa","Aruna de Soyza",36,0.04
"127",2005,"Colombo","Kolonnawa","Mahinda Rajapaksha",40616,49.51
"128",2005,"Colombo","Kolonnawa","Ranil Wickramasinghe",40744,49.67
"129",2005,"Colombo","Kolonnawa","Achala Ashoka Suraweera",166,0.2
"130",2005,"Colombo","Kolonnawa","Victor Hettigoda",117,0.14
"131",2005,"Colombo","Kolonnawa","Hewaheenipallage Shantha Dharmadwaja",7,0.01
"132",2005,"Colombo","Kolonnawa","Total No of Valid Votes",82028,98.92
"133",2005,"Colombo","Kolonnawa","No of Rejected Votes",892,1.08
"134",2005,"Colombo","Kolonnawa","Total No of Votes Polled",82920,76.97
"135",2005,"Colombo","Kotte","Wimal Geeganage",18,0.03
"136",2005,"Colombo","Kotte","Chamil Jayaneththi",31,0.06
"137",2005,"Colombo","Kotte","Ajith Kumara Jayaweera Arachchige",20,0.04
"138",2005,"Colombo","Kotte","Siritunga Jayasuriya",83,0.15
"139",2005,"Colombo","Kotte","P. Nelson Perera",3,0.01
"140",2005,"Colombo","Kotte","Wije Dias",11,0.02
"141",2005,"Colombo","Kotte","Anura De Silva",19,0.03
"142",2005,"Colombo","Kotte","Aruna de Soyza",17,0.03
"143",2005,"Colombo","Kotte","Mahinda Rajapaksha",26987,49.51
"144",2005,"Colombo","Kotte","Ranil Wickramasinghe",27106,49.73
"145",2005,"Colombo","Kotte","Achala Ashoka Suraweera",88,0.16
"146",2005,"Colombo","Kotte","Victor Hettigoda",117,0.21
"147",2005,"Colombo","Kotte","Hewaheenipallage Shantha Dharmadwaja",4,0.01
"148",2005,"Colombo","Kotte","Total No of Valid Votes",54504,99.06
"149",2005,"Colombo","Kotte","No of Rejected Votes",516,0.94
"150",2005,"Colombo","Kotte","Total No of Votes Polled",55020,75.09
"151",2005,"Colombo","Kaduwela","Wimal Geeganage",42,0.04
"152",2005,"Colombo","Kaduwela","Chamil Jayaneththi",59,0.05
"153",2005,"Colombo","Kaduwela","Ajith Kumara Jayaweera Arachchige",37,0.03
"154",2005,"Colombo","Kaduwela","Siritunga Jayasuriya",192,0.17
"155",2005,"Colombo","Kaduwela","P. Nelson Perera",8,0.01
"156",2005,"Colombo","Kaduwela","Wije Dias",43,0.04
"157",2005,"Colombo","Kaduwela","Anura De Silva",54,0.05
"158",2005,"Colombo","Kaduwela","Aruna de Soyza",69,0.06
"159",2005,"Colombo","Kaduwela","Mahinda Rajapaksha",65829,57.84
"160",2005,"Colombo","Kaduwela","Ranil Wickramasinghe",47025,41.32
"161",2005,"Colombo","Kaduwela","Achala Ashoka Suraweera",236,0.21
"162",2005,"Colombo","Kaduwela","Victor Hettigoda",207,0.18
"163",2005,"Colombo","Kaduwela","Hewaheenipallage Shantha Dharmadwaja",4,0
"164",2005,"Colombo","Kaduwela","Total No of Valid Votes",113805,98.95
"165",2005,"Colombo","Kaduwela","No of Rejected Votes",1209,1.05
"166",2005,"Colombo","Kaduwela","Total No of Votes Polled",115014,77.48
"167",2005,"Colombo","Avissawella","Wimal Geeganage",33,0.04
"168",2005,"Colombo","Avissawella","Chamil Jayaneththi",88,0.11
"169",2005,"Colombo","Avissawella","Ajith Kumara Jayaweera Arachchige",31,0.04
"170",2005,"Colombo","Avissawella","Siritunga Jayasuriya",281,0.36
"171",2005,"Colombo","Avissawella","P. Nelson Perera",16,0.02
